ID,Category,Name,Details,URL
140,processor,[RePacked] AMD Ryzen 3 3100 Desktop Processor 4 Cores 8 Threads 18MB Cache PCIe 4.0,[RePacked] AMD Ryzen 3 3100 Desktop Processor 4 Cores 8 Threads 18MB Cache PCIe 4.0 @ ,pcpricetracker.in/gen/products/51acc855422d7a46ce4b49ba173812d4
141,processor,[RePacked] AMD Ryzen 7 2700 Desktop Processor 8 Cores up to 4.1GHz 20MB Cache AM4 Socket (YD2700BBAFBOX),[RePacked] AMD Ryzen 7 2700 Desktop Processor 8 Cores up to 4.1GHz 20MB Cache AM4 Socket (YD2700BBAFBOX) @ ,pcpricetracker.in/gen/products/9da849965333590850dc2f81bb99c1f8
142,processor,[RePacked] AMD Ryzen 7 2700X Desktop Processor 8 Cores up to 4.3GHz 20MB Cache AM4 Socket (YD270XBGAFBOX),[RePacked] AMD Ryzen 7 2700X Desktop Processor 8 Cores up to 4.3GHz 20MB Cache AM4 Socket (YD270XBGAFBOX) @ ,pcpricetracker.in/gen/products/21e6fb27e4552ac9a9911881693b87a8
143,processor,[RePacked] AMD Ryzen 7 3800X Desktop Processor Up to 4.5 GHz 8 Cores 16 Threads 36MB Cache AM4 Socket,[RePacked] AMD Ryzen 7 3800X Desktop Processor Up to 4.5 GHz 8 Cores 16 Threads 36MB Cache AM4 Socket @ ,pcpricetracker.in/gen/products/bd8b4e4081cc02ab60943871861810f6
144,processor,[RePacked] AMD Ryzen 7 3700X Desktop,[RePacked] AMD Ryzen 7 3700X Desktop @ ,pcpricetracker.in/gen/products/2e23ffcc753de806b52baf166eb7dab1
145,processor,[RePacked] AMD Ryzen 5 3500X Desktop,[RePacked] AMD Ryzen 5 3500X Desktop @ ,pcpricetracker.in/gen/products/6edd0e6ac4eb029277e2256f4457dd57
146,processor,[RePacked] AMD Ryzen 5 3500X Desktop,[RePacked] Intel Core i7-9700K LGA115 @ ,pcpricetracker.in/gen/products/4ffa562131456a9b422d163a20628e39
147,processor,[RePacked] AMD Ryzen 5 3500X Desktop,[RePacked] Intel Core i7-10700 LGA120 @ ,pcpricetracker.in/gen/products/47a89f25673b1bf60139b635fb13e2a9
148,processor,[RePacked] AMD Ryzen 5 3500X Desktop,[RePacked] Intel Core i7-9700 LGA1151 @ ,pcpricetracker.in/gen/products/691a5119575b059fbb516c87496ba5a0
149,processor,[RePacked] AMD Ryzen 5 3500X Desktop,[RePacked] Intel Core i5-9500F LGA115 @ ,pcpricetracker.in/gen/products/c5487720f6aa9f845d077278f5ba2e8f
150,processor,[RePacked] AMD Ryzen 5 3500X Desktop,[RePacked] Intel Core i5-8400 LGA1151 @ ,pcpricetracker.in/gen/products/fdf8d8a199df912a21223f6981f970f5
151,processor,[RePacked] AMD Ryzen 5 3500X Desktop,[RePacked] Intel Core i5-9400 LGA1151 @ ,pcpricetracker.in/gen/products/2c0d0bf493d20ff132a4a83e8f615014
152,processor,[RePacked] AMD Ryzen 5 3500X Desktop,Intel Core i5-11400F 2.60 GHz Processor,pcpricetracker.in/gen/products/5b1218bf8f776a0510da2a24132c0607
153,processor,[RePacked] Intel Core i9-9900KF LGA1151 Unlocked Desktop Processor 8 Cores up to 5GHz 16MB Cache,[RePacked] Intel Core i9-9900KF LGA1151 Unlocked Desktop Processor 8 Cores up to 5GHz 16MB Cache,pcpricetracker.in/gen/products/788dbda52b30872227f6953531f58f61
